"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,28.57,100,93.88,87.76,61.22,81.63,93.88
"FRL",71.43,0,0,0,87.76,0,0,0
"FRD",0,0,0,34.69,0,0,20.41,93.88
"PET",6.12,0,65.31,0,65.31,0,79.59,40.82
"PEW",12.24,12.24,100,34.69,0,0,32.65,0
"SEL",2.04,0,0,0,0,0,0,0
"SED",18.37,0,79.59,20.41,67.35,26.53,0,95.92
"SEW",6.12,0,6.12,14.29,0,16.33,4.08,0
