"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,1.59,12.7,4.76,0,0,0,0
"FRL",1.59,0,12.7,0,0,1.59,0,0
"FRD",3.17,1.59,0,0,0,0,0,0
"PET",0,0,0,0,0,0,0,0
"PEW",4.76,1.59,0,4.76,0,0,0,0
"SEL",0,0,0,0,0,0,0,1.59
"SED",0,0,0,0,0,0,0,0
"SEW",0,0,0,0,0,0,1.59,0
