"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,0,17.46,1.59,92.06,0,0,0
"FRL",0,0,17.46,0,38.1,55.56,0,0
"FRD",0,0,0,0,0,1.59,0,0
"PET",0,0,0,0,90.48,0,0,0
"PEW",0,53.97,0,1.59,0,0,0,0
"SEL",0,0,0,0,0,0,0,74.6
"SED",0,0,0,0,0,0,0,42.86
"SEW",0,0,0,0,0,0,31.75,0
