"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,100,100,100,100,63.27,100,100
"FRL",100,0,0,0,100,0,0,0
"FRD",100,0,0,100,100,0,100,100
"PET",100,0,100,0,100,0,100,55.1
"PEW",100,100,100,100,0,0,100,0
"SEL",63.27,0,0,0,0,0,26.53,16.33
"SED",100,0,100,100,100,26.53,0,100
"SEW",100,0,100,55.1,0,16.33,100,0
