"Variable","N","Mean","SE","SD","Min","Max","CV"
"FRW",63,380.81,16.16,128.25,173.6,693.6,33.68
"FRL",63,98.38,2.02,16.04,64.6,135.7,16.3
"FRD",63,83.36,1.28,10.16,62.8,106.17,12.19
"PET",63,1.93,0.05,0.41,1,2.9,21.27
"PEW",63,52.38,2.11,16.74,24.4,96.2,31.96
"SEL",63,62.22,0.9,7.18,45.1,76.6,11.55
"SED",63,33.17,0.39,3.08,23,41.5,9.28
"SEW",63,40.28,1.17,9.28,18.4,59.9,23.03
