"from","to"
"FRW","FRD"
"FRW","PET"
"FRW","PEW"
"FRL","PEW"
"FRL","SEL"
"FRD","FRW"
"PET","FRW"
"PET","PEW"
"PEW","FRW"
"PEW","FRL"
"PEW","PET"
"SEL","FRL"
"SEL","SEW"
"SED","SEW"
"SEW","SEL"
"SEW","SED"
