"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,100,100,2.04,53.06,0,0,0
"FRL",40.82,0,0,42.86,46.94,0,0,8.16
"FRD",100,0,0,0,0,0,0,0
"PET",2.04,2.04,0,0,57.14,0,0,0
"PEW",2.04,55.1,0,48.98,0,0,0,0
"SEL",0,0,0,0,0,0,100,0
"SED",0,22.45,0,0,0,100,0,100
"SEW",0,0,0,0,0,0,91.84,0
