"from","to"
"FRW","FRL"
"FRW","FRD"
"FRD","FRW"
"PET","PEW"
"PEW","FRL"
"PEW","PET"
"SEL","SED"
"SED","SEL"
"SED","SEW"
"SEW","SED"
