"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,1.59,96.83,90.48,85.71,0,0,0
"FRL",1.59,0,12.7,0,96.83,100,0,0
"FRD",87.3,1.59,0,0,0,0,0,0
"PET",85.71,0,0,0,95.24,0,0,0
"PEW",90.48,98.41,0,100,0,0,0,0
"SEL",0,98.41,0,0,0,0,0,100
"SED",0,0,0,0,0,0,0,98.41
"SEW",0,0,0,0,0,98.41,100,0
