"from","to"
"FRW","FRL"
"FRW","FRD"
"FRW","PET"
"FRW","PEW"
"FRW","SEL"
"FRW","SED"
"FRW","SEW"
"FRL","FRW"
"FRL","PEW"
"FRD","SEW"
"PET","FRW"
"PET","FRD"
"PET","PEW"
"PET","SED"
"PET","SEW"
"PEW","FRD"
"SEL","FRW"
"SED","FRW"
"SED","FRD"
"SED","PET"
"SED","PEW"
"SED","SEW"
