"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,89.8,100,2.04,2.04,0,0,0
"FRL",32.65,0,0,8.16,8.16,0,0,0
"FRD",100,0,0,0,0,0,0,0
"PET",2.04,8.16,0,0,100,0,0,0
"PEW",2.04,65.31,0,100,0,0,0,0
"SEL",0,0,0,0,0,0,100,0
"SED",0,0,0,0,0,100,0,100
"SEW",0,0,0,0,0,0,100,0
