"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,0,100,9.52,100,0,0,0
"FRL",0,0,17.46,0,100,100,0,0
"FRD",100,17.46,0,0,0,1.59,0,0
"PET",9.52,0,0,0,100,0,0,0
"PEW",100,100,0,100,0,0,0,0
"SEL",0,100,1.59,0,0,0,0,100
"SED",0,0,0,0,0,0,0,100
"SEW",0,0,0,0,0,100,100,0
