"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,100,100,2.04,53.06,0,0,0
"FRL",100,0,0,44.9,100,0,22.45,8.16
"FRD",100,0,0,0,0,0,0,0
"PET",2.04,44.9,0,0,100,0,0,0
"PEW",53.06,100,0,100,0,0,0,0
"SEL",0,0,0,0,0,0,100,0
"SED",0,22.45,0,0,0,100,0,100
"SEW",0,8.16,0,0,0,0,100,0
