"Test","Variable","Statistic","p.value","Normality"
"Shapiro-Wilk","FRW",0.981,0.602,"✓ Normal"
"Shapiro-Wilk","FRL",0.971,0.264,"✓ Normal"
"Shapiro-Wilk","FRD",0.977,0.462,"✓ Normal"
"Shapiro-Wilk","PET",0.968,0.205,"✓ Normal"
"Shapiro-Wilk","PEW",0.985,0.778,"✓ Normal"
"Shapiro-Wilk","SEL",0.98,0.555,"✓ Normal"
"Shapiro-Wilk","SED",0.95,0.037,"✗ Not normal"
"Shapiro-Wilk","SEW",0.948,0.032,"✗ Not normal"
