"Model","Chisq","Df","PValue","GFI","AGFI","RMSEA"
"Mamey sapote final retained SEM",21.01,19,0.336264,0.925,0.859,0.041
"Star apple final retained SEM",13,17,0.736212,0.943,0.88,0
