"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,0,100,0,100,0,0,0
"FRL",0,0,100,0,100,100,0,0
"FRD",100,100,0,0,0,0,0,0
"PET",0,0,0,0,100,0,0,0
"PEW",100,100,0,100,0,0,0,0
"SEL",0,100,0,0,0,0,0,100
"SED",0,0,0,0,0,0,0,100
"SEW",0,0,0,0,0,100,100,0
