"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,3.17,100,90.48,90.48,0,0,0
"FRL",3.17,0,14.29,0,98.41,100,0,0
"FRD",100,14.29,0,0,0,0,0,0
"PET",90.48,0,0,0,100,0,0,0
"PEW",90.48,98.41,0,100,0,0,0,0
"SEL",0,100,0,0,0,0,0,100
"SED",0,0,0,0,0,0,0,100
"SEW",0,0,0,0,0,100,100,0
