"Test","Variable","Statistic","p.value","Normality"
"Shapiro-Wilk","FRW",0.97,0.12,"✓ Normal"
"Shapiro-Wilk","FRL",0.981,0.429,"✓ Normal"
"Shapiro-Wilk","FRD",0.972,0.152,"✓ Normal"
"Shapiro-Wilk","PET",0.988,0.797,"✓ Normal"
"Shapiro-Wilk","PEW",0.971,0.15,"✓ Normal"
"Shapiro-Wilk","SEL",0.971,0.137,"✓ Normal"
"Shapiro-Wilk","SED",0.97,0.131,"✓ Normal"
"Shapiro-Wilk","SEW",0.98,0.395,"✓ Normal"
