"","FRW","FRL","FRD","PET","PEW","SEL","SED","SEW"
"FRW",0,59.18,0,0,51.02,0,0,0
"FRL",0,0,0,42.86,44.9,0,0,8.16
"FRD",0,0,0,0,0,0,0,0
"PET",0,2.04,0,0,51.02,0,0,0
"PEW",0,53.06,0,42.86,0,0,0,0
"SEL",0,0,0,0,0,0,0,0
"SED",0,22.45,0,0,0,0,0,8.16
"SEW",0,0,0,0,0,0,0,0
